Timestamp,Type,Severity,Message
2026-01-26 00:32:40,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 00:32:42,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:32:58,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:33:07,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 00:33:15,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:04:18,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:04:20,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 01:04:26,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:04:34,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:04:42,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:04:50,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:04:58,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:05:06,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:05:15,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:05:24,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:05:30,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 01:05:35,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:05:45,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:05:45,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 01:05:53,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:05:55,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 01:06:01,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 01:06:09,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:32:51,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:38:13,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:38:14,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 13:38:21,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:38:23,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 13:38:29,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:38:40,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 13:38:41,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:38:49,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 13:38:50,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:45:42,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:45:51,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:46:00,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:46:08,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:46:18,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 13:46:22,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:46:31,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:46:41,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 13:46:50,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:46:52,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 13:46:59,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:46:59,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 13:47:07,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:47:11,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 13:47:14,MULTIPLE_PEOPLE,HIGH,More than one person detected
2026-01-26 13:47:17,FACE_CONCEALMENT,MEDIUM,Helmet or mask detected
2026-01-26 13:47:20,CAMERA_TAMPERING,CRITICAL,Camera feed blacked out
2026-01-26 13:58:20,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:20,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:36,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:36,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:36,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:36,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:37,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:37,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:37,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:37,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:37,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:37,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:58:37,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:58:37,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:58:37,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:58:38,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:58:38,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:58:38,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:58:38,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:58:38,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:58:38,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:58:38,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:58:38,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:58:39,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:58:39,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:58:39,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:58:39,ALERT,HIGH,Camera blackout detected for 17s
2026-01-26 13:58:39,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:58:39,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:58:39,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:58:39,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:58:40,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:58:40,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:58:40,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:58:40,ALERT,HIGH,Camera blackout detected for 18s
2026-01-26 13:58:59,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:59,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:58:59,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:59:00,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:59:00,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:59:00,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:59:00,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:59:00,ALERT,HIGH,Camera blackout detected for 15s
2026-01-26 13:59:00,ALERT,HIGH,Camera blackout detected for 16s
2026-01-26 13:59:00,ALERT,HIGH,Camera blackout detected for 16s
